id,timestamp,symbol,action,target_price_low,target_price_high,confidence,rationale_summary,status,verified_at,price_at_verification,outcome,outcome_detail
1,2026-05-01T23:49,AAPL,hold,260.00,300.00,3,RSI 71超买+PE 36偏高短期回调风险但多头趋势完好,pending,,,,
2,2026-05-01T23:49,TSLA,hold,360.00,410.00,3,MACD金叉反弹中价格仍在MA200下方PE 355极度拉伸需观察突破,pending,,,,
3,2026-05-01T23:49,VOO,hold,630.00,680.00,4,核心配置但大盘RSI 80严重超买短期内不宜追高加仓,pending,,,,
4,2026-05-01T23:49,HKG:0700,hold,450.00,510.00,3,价格低于全部均线MACD空头但接近布林带下轨PE 17合理不宜斩仓,pending,,,,
5,2026-05-02T00:11,AAPL,hold,260.00,300.00,4,多头趋势完好PE 35.95偏高但RSI 71超买成本极低安全垫充裕观望不追高,pending,,,,
6,2026-05-02T00:11,VOO,hold,630.00,690.00,4,核心配置不动RSI 79.9极端超买严禁加仓等待调整后再考虑,pending,,,,
7,2026-05-02T00:11,TSLA,reduce,400.00,410.00,3,MA200阻力位PE 355极端估值浮盈87%应锁定部分利润减仓20%,pending,,,,
8,2026-05-02T00:11,HKG:0700,hold,460.00,500.00,3,价格紧贴布林下轨有支撑预期MACD空头但RSI 35接近超卖关注HKD 460止损线,pending,,,,
9,2026-05-02T00:34,AAPL,hold,260.00,300.00,4,多头趋势完好财报后强反弹但RSI 71超买+价格突破布林上轨PE 35.93偏高不加仓等待回调,pending,,,,
10,2026-05-02T00:34,VOO,hold,630.00,690.00,4,核心配置不动但RSI 79.6极端超买SP500历史高位严禁追高建议观察减仓时机等待回调至MA50附近回补,pending,,,,
11,2026-05-02T00:34,TSLA,reduce,400.00,410.00,3,MACD金叉站上MA50是积极信号但MA200阻力位PE 356极端拉伸+浮盈87.7%强烈建议减仓20-30%锁定利润,pending,,,,
12,2026-05-02T00:34,HKG:0700,hold,460.00,500.00,3,持续走弱但RSI 35.4接近超卖+紧贴布林下轨HK$466有支撑不宜斩仓如跌破460需止损反弹至MA20附近可减仓,pending,,,,
13,2026-05-02T01:21,AAPL,hold,260.00,300.00,4,多头趋势完整RSI 70.7超买+突破布林上轨不宜追高成本极低安全垫充裕等待回调至MA20加仓,pending,,,,
14,2026-05-02T01:21,TSLA,reduce,395.00,410.00,4,PE 356极端估值浮盈87.5%需兑现MA200阻力$402附近减仓25%锁定部分利润剩余仓位观察突破,pending,,,,
15,2026-05-02T01:21,VOO,hold,630.00,690.00,4,核心配置不动但RSI 79.7极度超买SP500历史高位严禁追高加仓等待回调至MA50附近观察,pending,,,,
16,2026-05-02T01:21,HKG:0700,hold,460.00,500.00,3,全线技术面偏弱但PE 17.15合理RSI 35.4接近超卖不斩仓设HK$460止损反弹至MA20减仓,pending,,,,
17,2026-05-02T01:43,AAPL,hold,260.00,300.00,4,多头趋势完好但RSI 70.5超买+突破布林上轨不加仓等回调至MA20,pending,,,,
18,2026-05-02T01:43,VOO,hold,630.00,680.00,4,核心配置不动但RSI 79.9极度超买S&P500历史高位严禁追高加仓,pending,,,,
19,2026-05-02T01:43,TSLA,reduce,395.00,405.00,4,PE 357极端估值+浮盈88.4%+MA200阻力建议减仓25%锁定利润观察突破,pending,,,,
20,2026-05-02T01:43,HKG:0700,hold,460.00,500.00,3,技术面全线偏弱但RSI 35.4近超卖+PE 16.89合理不斩仓设HK$460止损,pending,,,,
21,2026-05-02T10:33,AAPL,hold,260.00,300.00,4,多头趋势完好但RSI 69接近超买+价格紧贴布林上轨+PE 33.92偏高不高位追涨等回调至MA20,pending,,,,
22,2026-05-02T10:33,VOO,hold,630.00,690.00,4,核心配置不动但RSI 79极度超买S&P500历史极端高位严禁追高加仓等回调至MA50,pending,,,,
23,2026-05-02T10:33,TSLA,reduce,395.00,410.00,4,MACD刚金叉积极信号但MA200阻力+PE 359极度拉伸+浮盈85%强烈建议减仓25%锁定利润剩余观望,pending,,,,
24,2026-05-02T10:33,HKG:0700,hold,460.00,500.00,3,全线技术面偏弱但RSI 35接近超卖+紧贴布林下轨HK$466支撑+PE 16.89合理不斩仓设HK$460止损等反弹,pending,,,,
